"Qty","Value","Device","Package","Parts","Description","BOARD","BOM","MANUFACTURER","PARTNUM","SUPPLIER","VALUE","VERSION",
"2",".1uF","CAPACITOR-.1UF","0603","C3, C6","Capacitor","","","","C0603C104K5RACTU","",".1uF","",
"1","1.33M","RESISTOR-0603","0603","R2","Resistor","","","","ERJ-3EKF1304V","","","",
"1","10K","RESISTOR-10KΩ","0603","R1","Resistor","","","","ERJ-3EKF1002V","","10KΩ","",
"3","10KΩ","RESISTOR-10KΩ","0603","R3, R5, R6","Resistor","","","","ERJ-3EKF1002V","","10KΩ","",
"4","10uF","CAPACITOR-10UF","0603","C1, C2, C4, C5","Capacitor","","","","GRM188R61C106MA73D","","10uF","",
"1","10uH","INDUCTOR","INDUCTOR_1007","L1","Inductors","","","","MPI2520R1-100-R","","","",
"2","1KΩ","RESISTOR-1KΩ","0603","R4, R7","Resistor","","","","ERJ-3EKF1001V","","1KΩ","",
"1","ATSAMD20E17A-AU","SAMD21E","TQFP-32","U3","","","","","ATSAMD20E17A-AU","","ATSAMD21E18A-AU","",
"1","BAT54T1G","DIODE-SCHOTTKY","SMP","D1","","","","","SS3P3-M3/84A","","","",
"1","DEVICE-PCB","DEVICE-PCB","DEVICE-PCB","PCB1","Modulo Footprint","Display","","","Display PCB","","","4",
"1","ER-OLED0.95-2C","OLED-COLORREVERSE","FPC-24-REVERSE","U1","","","","buydisplay.com","ER-OLED0.95-2C","buydisplay.com","ER-OLED0.95-2C","",
"1","FAN5331SX","FAN5331","SOT23-5","U2","FAN5331 - LED/OLED 20V Boost Converter","","","","FAN5331SX","","","",
"1","HEADER-1X4-AMPMODU","HEADER-1X4-AMPMODU","AMPMODU-4P","JP2","","","","","147721-3","","","",
"1","MIC5205-3.3YM5 TR","VREG-MIC5205-3.3V","SOT23-5","U4","V_REG MIC5219","","","","MIC5205-3.3YM5 TR","","MIC5205-3.3YM5 TR","",
"3","SWITCH-PTS-810","SWITCH-PTS-810","TACT-SWITCH-PTS-810","SW1, SW2, SW3","","","","","PTS810 SJM 250 SMTR LFS","","","",
"1","blue","LED-0805-BLUE","0805-LED","LED1","LED","","","","LTST-C171TBKT","","blue","",
